               *               *    core_i/load_store_unit_i/U517/output
            0.87            0.87    core_i/load_store_unit_i/U105/A
            0.87            0.87    core_i/load_store_unit_i/U105/ZN
            0.87            0.87    core_i/load_store_unit_i/U106/A
            0.87            0.87    core_i/load_store_unit_i/U106/ZN
            0.87            0.87    core_i/load_store_unit_i/U107/A
            0.87            0.87    core_i/load_store_unit_i/U107/ZN
            0.87            0.87    core_i/load_store_unit_i/U108/A
            0.87            0.87    core_i/load_store_unit_i/U108/ZN
            0.87            0.87    core_i/load_store_unit_i/U109/A
            0.87            0.87    core_i/load_store_unit_i/U109/ZN
            1.68            1.63    core_i/load_store_unit_i/U300/A
            1.63            1.68    core_i/load_store_unit_i/U300/ZN
            4.03            3.96    core_i/load_store_unit_i/U308/A1
            3.99            3.93    core_i/load_store_unit_i/U308/A2
            3.93            3.99    core_i/load_store_unit_i/U308/ZN
            1.09            1.07    core_i/load_store_unit_i/U119/A
            1.07            1.09    core_i/load_store_unit_i/U119/ZN
            3.94            4.02    core_i/load_store_unit_i/U63/A1
            3.89            3.98    core_i/load_store_unit_i/U63/A2
            3.98            3.89    core_i/load_store_unit_i/U63/ZN
            1.77            1.82    core_i/load_store_unit_i/U64/A
            1.82            1.77    core_i/load_store_unit_i/U64/ZN
            0.55            0.47    core_i/load_store_unit_i/U65/A1
            4.45            4.38    core_i/load_store_unit_i/U65/A2
            0.47            0.55    core_i/load_store_unit_i/U65/ZN
            4.03            3.93    core_i/load_store_unit_i/U310/A1
            4.05            3.95    core_i/load_store_unit_i/U310/A2
            3.93            4.03    core_i/load_store_unit_i/U310/ZN
            1.64            1.62    core_i/load_store_unit_i/U502/A
            1.62            1.64    core_i/load_store_unit_i/U502/ZN
            4.02            4.06    core_i/load_store_unit_i/U311/A1
            4.03            4.06    core_i/load_store_unit_i/U311/A2
            4.06            4.02    core_i/load_store_unit_i/U311/ZN
            0.21            0.21    core_i/load_store_unit_i/U121/A
            0.21            0.21    core_i/load_store_unit_i/U121/ZN
