max_rise,max_fall,fault_site
U4/output,*,*
U2/output,*,*
core_i/load_store_unit_i/U517/output,*,*
core_i/cs_registers_i/U134/output,*,*
core_i/id_stage_i/U1575/output,*,*
core_i/id_stage_i/U1018/output,*,*
core_i/id_stage_i/U235/output,*,*
core_i/id_stage_i/U236/output,*,*
core_i/sleep_unit_i/U6/output,*,*
core_i/U19/output,*,*
core_i/U24/output,*,*
core_i/if_stage_i/prefetch_buffer_i/U20/output,*,*
core_i/if_stage_i/prefetch_buffer_i/U21/output,*,*
core_i/if_stage_i/U364/output,*,*
clk_i,*,*
rst_ni,*,*
pulp_clock_en_i,*,*
scan_cg_en_i,*,*
boot_addr_i[31],1.23,1.19
boot_addr_i[30],1.25,1.19
boot_addr_i[29],1.26,1.14
boot_addr_i[28],1.19,1.11
boot_addr_i[27],1.23,1.19
boot_addr_i[26],1.22,1.14
boot_addr_i[25],1.22,1.13
boot_addr_i[24],1.23,1.13
boot_addr_i[23],1.29,1.20
boot_addr_i[22],1.29,1.20
boot_addr_i[21],1.25,1.17
boot_addr_i[20],1.24,1.17
boot_addr_i[19],1.26,1.19
boot_addr_i[18],1.25,1.19
boot_addr_i[17],1.24,1.17
boot_addr_i[16],1.24,1.17
boot_addr_i[15],1.26,1.19
boot_addr_i[14],1.25,1.19
boot_addr_i[13],1.24,1.17
boot_addr_i[12],1.24,1.17
boot_addr_i[11],1.26,1.19
boot_addr_i[10],1.25,1.19
boot_addr_i[9],1.24,1.17
boot_addr_i[8],1.24,1.17
boot_addr_i[7],1.30,1.25
boot_addr_i[6],1.26,1.22
boot_addr_i[5],1.24,1.19
boot_addr_i[4],1.28,1.21
boot_addr_i[3],1.26,1.20
boot_addr_i[2],1.24,1.17
boot_addr_i[1],*,*
boot_addr_i[0],*,*
mtvec_addr_i[31],4.38,4.34
mtvec_addr_i[30],4.37,4.34
mtvec_addr_i[29],4.38,4.34
mtvec_addr_i[28],4.37,4.34
mtvec_addr_i[27],4.37,4.34
mtvec_addr_i[26],4.37,4.34
mtvec_addr_i[25],4.37,4.34
mtvec_addr_i[24],4.37,4.34
mtvec_addr_i[23],4.37,4.34
mtvec_addr_i[22],4.37,4.34
mtvec_addr_i[21],4.37,4.34
mtvec_addr_i[20],4.37,4.34
mtvec_addr_i[19],4.38,4.34
mtvec_addr_i[18],4.38,4.34
mtvec_addr_i[17],4.38,4.34
mtvec_addr_i[16],4.38,4.34
mtvec_addr_i[15],4.38,4.34
mtvec_addr_i[14],4.38,4.34
mtvec_addr_i[13],4.38,4.34
mtvec_addr_i[12],4.38,4.34
mtvec_addr_i[11],4.38,4.34
mtvec_addr_i[10],4.38,4.34
mtvec_addr_i[9],4.38,4.34
mtvec_addr_i[8],4.38,4.34
mtvec_addr_i[7],*,*
mtvec_addr_i[6],*,*
mtvec_addr_i[5],*,*
mtvec_addr_i[4],*,*
mtvec_addr_i[3],*,*
mtvec_addr_i[2],*,*
mtvec_addr_i[1],*,*
mtvec_addr_i[0],*,*
dm_halt_addr_i[31],1.23,1.19
dm_halt_addr_i[30],1.22,1.16
dm_halt_addr_i[29],1.27,1.19
dm_halt_addr_i[28],1.24,1.18
dm_halt_addr_i[27],1.23,1.18
dm_halt_addr_i[26],1.23,1.15
dm_halt_addr_i[25],1.26,1.18
dm_halt_addr_i[24],1.29,1.23
dm_halt_addr_i[23],1.29,1.20
dm_halt_addr_i[22],1.29,1.20
dm_halt_addr_i[21],1.25,1.17
dm_halt_addr_i[20],1.24,1.18
dm_halt_addr_i[19],1.26,1.19
dm_halt_addr_i[18],1.25,1.20
dm_halt_addr_i[17],1.24,1.17
dm_halt_addr_i[16],1.24,1.18
dm_halt_addr_i[15],1.26,1.19
dm_halt_addr_i[14],1.25,1.20
dm_halt_addr_i[13],1.24,1.17
dm_halt_addr_i[12],1.24,1.18
dm_halt_addr_i[11],1.26,1.19
dm_halt_addr_i[10],1.25,1.20
dm_halt_addr_i[9],1.24,1.17
dm_halt_addr_i[8],1.24,1.18
dm_halt_addr_i[7],1.30,1.25
dm_halt_addr_i[6],1.26,1.19
dm_halt_addr_i[5],1.23,1.16
dm_halt_addr_i[4],1.28,1.21
dm_halt_addr_i[3],1.27,1.23
dm_halt_addr_i[2],1.29,1.23
dm_halt_addr_i[1],*,*
dm_halt_addr_i[0],*,*
hart_id_i[31],3.90,3.76
hart_id_i[30],3.93,3.72
hart_id_i[29],4.02,3.86
hart_id_i[28],3.95,3.77
hart_id_i[27],4.03,3.88
hart_id_i[26],3.93,3.76
hart_id_i[25],3.94,3.76
hart_id_i[24],3.93,3.76
hart_id_i[23],3.87,3.71
hart_id_i[22],3.93,3.76
hart_id_i[21],3.93,3.76
hart_id_i[20],3.94,3.77
hart_id_i[19],3.94,3.76
hart_id_i[18],3.88,3.72
hart_id_i[17],3.93,3.76
hart_id_i[16],3.89,3.73
hart_id_i[15],4.01,3.88
hart_id_i[14],3.97,3.80
hart_id_i[13],3.93,3.72
hart_id_i[12],3.93,3.73
hart_id_i[11],3.93,3.76
hart_id_i[10],3.87,3.68
hart_id_i[9],3.87,3.69
hart_id_i[8],3.83,3.64
hart_id_i[7],3.81,3.65
hart_id_i[6],3.82,3.65
hart_id_i[5],3.78,3.66
hart_id_i[4],3.83,3.75
hart_id_i[3],3.79,3.68
hart_id_i[2],3.79,3.64
hart_id_i[1],3.78,3.72
hart_id_i[0],3.76,3.71
dm_exception_addr_i[31],1.25,1.20
dm_exception_addr_i[30],1.24,1.15
dm_exception_addr_i[29],1.27,1.17
dm_exception_addr_i[28],1.23,1.18
dm_exception_addr_i[27],1.23,1.17
dm_exception_addr_i[26],1.22,1.15
dm_exception_addr_i[25],1.26,1.19
dm_exception_addr_i[24],1.25,1.19
dm_exception_addr_i[23],1.26,1.18
dm_exception_addr_i[22],1.26,1.18
dm_exception_addr_i[21],1.25,1.16
dm_exception_addr_i[20],1.23,1.17
dm_exception_addr_i[19],1.26,1.19
dm_exception_addr_i[18],1.25,1.19
dm_exception_addr_i[17],1.24,1.16
dm_exception_addr_i[16],1.23,1.17
dm_exception_addr_i[15],1.26,1.19
dm_exception_addr_i[14],1.25,1.19
dm_exception_addr_i[13],1.24,1.16
dm_exception_addr_i[12],1.23,1.17
dm_exception_addr_i[11],1.26,1.19
dm_exception_addr_i[10],1.25,1.19
dm_exception_addr_i[9],1.24,1.16
dm_exception_addr_i[8],1.23,1.17
dm_exception_addr_i[7],1.27,1.22
dm_exception_addr_i[6],1.26,1.20
dm_exception_addr_i[5],1.30,1.26
dm_exception_addr_i[4],1.24,1.18
dm_exception_addr_i[3],1.27,1.21
dm_exception_addr_i[2],1.28,1.21
dm_exception_addr_i[1],*,*
dm_exception_addr_i[0],*,*
instr_gnt_i,0.54,0.47
instr_rvalid_i,0.15,0.15
instr_rdata_i[31],0.21,0.19
instr_rdata_i[30],0.20,0.17
instr_rdata_i[29],0.23,0.19
instr_rdata_i[28],0.31,0.21
instr_rdata_i[27],0.30,0.19
instr_rdata_i[26],0.30,0.19
instr_rdata_i[25],0.39,0.23
instr_rdata_i[24],0.39,0.35
instr_rdata_i[23],0.40,0.20
instr_rdata_i[22],0.25,0.13
instr_rdata_i[21],0.25,0.13
instr_rdata_i[20],0.29,0.18
instr_rdata_i[19],0.30,0.21
instr_rdata_i[18],0.30,0.20
instr_rdata_i[17],0.00,0.00
instr_rdata_i[16],-0.00,0.00
instr_rdata_i[15],0.21,0.18
instr_rdata_i[14],0.20,0.17
instr_rdata_i[13],0.23,0.19
instr_rdata_i[12],0.30,0.20
instr_rdata_i[11],0.30,0.19
instr_rdata_i[10],0.29,0.19
instr_rdata_i[9],0.39,0.23
instr_rdata_i[8],0.39,0.35
instr_rdata_i[7],0.40,0.20
instr_rdata_i[6],0.24,0.12
instr_rdata_i[5],0.24,0.13
instr_rdata_i[4],0.28,0.18
instr_rdata_i[3],0.30,0.21
instr_rdata_i[2],0.30,0.20
instr_rdata_i[1],0.14,0.13
instr_rdata_i[0],0.13,0.12
data_gnt_i,0.07,0.09
data_rvalid_i,0.00,0.00
data_rdata_i[31],0.29,0.15
data_rdata_i[30],0.52,0.38
data_rdata_i[29],0.52,0.38
data_rdata_i[28],0.52,0.38
data_rdata_i[27],0.53,0.39
data_rdata_i[26],0.53,0.39
data_rdata_i[25],0.53,0.39
data_rdata_i[24],0.52,0.40
data_rdata_i[23],0.29,0.18
data_rdata_i[22],0.52,0.40
data_rdata_i[21],0.50,0.40
data_rdata_i[20],0.52,0.40
data_rdata_i[19],0.52,0.41
data_rdata_i[18],0.52,0.38
data_rdata_i[17],0.48,0.40
data_rdata_i[16],0.49,0.40
data_rdata_i[15],0.23,0.11
data_rdata_i[14],0.44,0.32
data_rdata_i[13],0.43,0.32
data_rdata_i[12],0.44,0.33
data_rdata_i[11],0.44,0.33
data_rdata_i[10],0.44,0.30
data_rdata_i[9],0.41,0.35
data_rdata_i[8],0.41,0.35
data_rdata_i[7],0.23,0.11
data_rdata_i[6],0.44,0.31
data_rdata_i[5],0.42,0.31
data_rdata_i[4],0.44,0.32
data_rdata_i[3],0.44,0.32
